n,ell,p,degree_sequence,delta_sq,delta,family,crippen_logp
1,0,1,"(0,)",0,0.000000,star,0.6361
2,2,0,"(1, 1)",0,0.000000,star,1.0262
3,2,1,"(2, 1, 1)",0,0.000000,star,1.4163
4,3,1,"(3, 1, 1, 1)",0,0.000000,star,1.6623
4,2,2,"(2, 2, 1, 1)",2,1.414214,asymmetric_double_star,1.8064
5,4,1,"(4, 1, 1, 1, 1)",0,0.000000,star,2.0524
5,3,2,"(3, 2, 1, 1, 1)",2,1.414214,asymmetric_double_star,2.0524
5,2,3,"(2, 2, 2, 1, 1)",2,1.414214,lollipop,2.1965
6,4,2,"(4, 2, 1, 1, 1, 1)",2,1.414214,asymmetric_double_star,2.4425
6,4,2,"(3, 3, 1, 1, 1, 1)",4,2.000000,general,2.2984
6,3,3,"(3, 2, 2, 1, 1, 1)",2,1.414214,lollipop,2.4425
6,2,4,"(2, 2, 2, 2, 1, 1)",4,2.000000,general,2.5866
7,5,2,"(4, 3, 1, 1, 1, 1, 1)",4,2.000000,general,2.6885
7,4,3,"(4, 2, 2, 1, 1, 1, 1)",2,1.414214,lollipop,2.8326
7,4,3,"(3, 3, 2, 1, 1, 1, 1)",4,2.000000,general,2.6885
7,3,4,"(3, 2, 2, 2, 1, 1, 1)",4,2.000000,general,2.8326
7,2,5,"(2, 2, 2, 2, 2, 1, 1)",8,2.828427,general,2.9767
8,6,2,"(4, 4, 1, 1, 1, 1, 1, 1)",6,2.449490,general,3.0786
8,5,3,"(4, 3, 2, 1, 1, 1, 1, 1)",4,2.000000,general,3.0786
8,4,4,"(4, 2, 2, 2, 1, 1, 1, 1)",4,2.000000,general,3.2227
8,5,3,"(3, 3, 3, 1, 1, 1, 1, 1)",6,2.449490,general,2.9345
8,4,4,"(3, 3, 2, 2, 1, 1, 1, 1)",4,2.000000,general,3.0786
8,3,5,"(3, 2, 2, 2, 2, 1, 1, 1)",6,2.449490,general,3.2227
8,2,6,"(2, 2, 2, 2, 2, 2, 1, 1)",12,3.464102,general,3.3668
9,6,3,"(4, 4, 2, 1, 1, 1, 1, 1, 1)",6,2.449490,general,3.4687
9,6,3,"(4, 3, 3, 1, 1, 1, 1, 1, 1)",6,2.449490,general,3.3246
9,5,4,"(4, 3, 2, 2, 1, 1, 1, 1, 1)",4,2.000000,general,3.4687
9,4,5,"(4, 2, 2, 2, 2, 1, 1, 1, 1)",6,2.449490,general,3.6128
9,5,4,"(3, 3, 3, 2, 1, 1, 1, 1, 1)",6,2.449490,general,3.3246
9,4,5,"(3, 3, 2, 2, 2, 1, 1, 1, 1)",6,2.449490,general,3.4687
9,3,6,"(3, 2, 2, 2, 2, 2, 1, 1, 1)",10,3.162278,general,3.6128
9,2,7,"(2, 2, 2, 2, 2, 2, 2, 1, 1)",16,4.000000,general,3.7569
10,7,3,"(4, 4, 3, 1, 1, 1, 1, 1, 1, 1)",8,2.828427,general,3.7147
10,6,4,"(4, 4, 2, 2, 1, 1, 1, 1, 1, 1)",6,2.449490,general,3.8588
10,6,4,"(4, 3, 3, 2, 1, 1, 1, 1, 1, 1)",6,2.449490,general,3.7147
10,5,5,"(4, 3, 2, 2, 2, 1, 1, 1, 1, 1)",6,2.449490,general,3.8588
10,4,6,"(4, 2, 2, 2, 2, 2, 1, 1, 1, 1)",8,2.828427,general,4.0029
10,6,4,"(3, 3, 3, 3, 1, 1, 1, 1, 1, 1)",6,2.449490,general,3.5706
10,5,5,"(3, 3, 3, 2, 2, 1, 1, 1, 1, 1)",8,2.828427,general,3.7147
10,4,6,"(3, 3, 2, 2, 2, 2, 1, 1, 1, 1)",10,3.162278,general,3.8588
10,3,7,"(3, 2, 2, 2, 2, 2, 2, 1, 1, 1)",14,3.741657,general,4.0029
10,2,8,"(2, 2, 2, 2, 2, 2, 2, 2, 1, 1)",20,4.472136,general,4.1470
11,8,3,"(4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1)",12,3.464102,general,4.1048
11,7,4,"(4, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1)",8,2.828427,general,4.1048
11,6,5,"(4, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1)",6,2.449490,general,4.2489
11,7,4,"(4, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1)",6,2.449490,general,3.9607
11,6,5,"(4, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1)",8,2.828427,general,4.1048
11,5,6,"(4, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1)",8,2.828427,general,4.2489
11,4,7,"(4, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",12,3.464102,general,4.3930
11,6,5,"(3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1)",8,2.828427,general,3.9607
11,5,6,"(3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1)",12,3.464102,general,4.1048
11,4,7,"(3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1)",14,3.741657,general,4.2489
11,3,8,"(3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1)",18,4.242641,general,4.3930
11,2,9,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1)",24,4.898979,general,4.5371
12,8,4,"(4, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,4.4949
12,8,4,"(4, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",8,2.828427,general,4.3508
12,7,5,"(4, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",8,2.828427,general,4.4949
12,6,6,"(4, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",8,2.828427,general,4.6390
12,7,5,"(4, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1)",8,2.828427,general,4.3508
12,6,6,"(4, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1)",10,3.162278,general,4.4949
12,5,7,"(4, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",12,3.464102,general,4.6390
12,4,8,"(4, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",16,4.000000,general,4.7831
12,7,5,"(3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,4.2067
12,6,6,"(3, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1)",12,3.464102,general,4.3508
12,5,7,"(3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1)",16,4.000000,general,4.4949
12,4,8,"(3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",18,4.242641,general,4.6390
12,3,9,"(3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1)",22,4.690416,general,4.7831
12,2,10,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1)",28,5.291503,general,4.9272
13,9,4,"(4, 4, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,4.7409
13,8,5,"(4, 4, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,4.8850
13,8,5,"(4, 4, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",8,2.828427,general,4.7409
13,7,6,"(4, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,4.8850
13,6,7,"(4, 4, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",12,3.464102,general,5.0291
13,8,5,"(4, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,4.5968
13,7,6,"(4, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,4.7409
13,6,7,"(4, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",14,3.741657,general,4.8850
13,5,8,"(4, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",16,4.000000,general,5.0291
13,4,9,"(4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",20,4.472136,general,5.1732
13,7,6,"(3, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1)",14,3.741657,general,4.5968
13,6,7,"(3, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1)",16,4.000000,general,4.7409
