name,smiles,n,mu,delta_sq,delta,crippen_logp
purine,c1ncc2[nH]cnc2n1,5,-2,0,0.000000,0.3529
morpholine,C1COCCN1,4,-1,2,1.414214,-0.3938
piperazine,C1CNCCN1,4,-1,2,1.414214,-0.8208
thiophene,c1ccsc1,4,0,2,1.414214,1.7481
furan,c1ccoc1,4,0,2,1.414214,1.2796
pyridine,c1ccncc1,5,0,2,1.414214,1.0816
pyrimidine,c1ccnc(c1)N,5,0,2,1.414214,0.6638
piperidine,C1CCCCN1,5,0,2,1.414214,0.7599
cyclopropane,C1CC1,3,1,0,0.000000,1.1703
cyclobutane,C1CCC1,4,1,2,1.414214,1.5604
cyclopentane,C1CCCC1,5,1,6,2.449490,1.9505
cyclohexane,C1CCCCC1,6,1,10,3.162278,2.3406
benzene,c1ccccc1,6,1,10,3.162278,1.6866
cycloheptane,C1CCCCCC1,7,1,14,3.741657,2.7307
cyclooctane,C1CCCCCCC1,8,1,18,4.242641,3.1208
indole,c1ccc2[nH]ccc2c1,8,1,12,3.464102,2.1679
cyclodecane,C1CCCCCCCCC1,10,1,26,5.099020,3.9010
bicyclo[2.2.0]hexane,C1CCC2CCC1C2,8,2,14,3.741657,2.5866
bicyclo[2.2.2]octane,C1CC2CCC1CC2,8,2,14,3.741657,2.5866
decalin,C1CCC2CCCCC2C1,10,2,22,4.690416,3.3668
naphthalene,c1ccc2ccccc2c1,10,2,22,4.690416,2.8398
anthracene,c1ccc2cc3ccccc3cc2c1,14,3,38,6.164414,3.9930
phenanthrene,c1ccc2ccc3ccccc3c2c1,14,3,38,6.164414,3.9930
pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,16,4,50,7.071068,4.5840
coronene,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,24,7,112,10.583005,6.9192
