n,ell,degree_sequence,delta_sq,delta,bp_degC,exp_logp,crippen_logp,name
1,0,"(0,)",0,0.000000,-161.5,1.09,0.6361,methane
2,2,"(1, 1)",0,0.000000,-88.6,1.81,1.0262,ethane
3,2,"(2, 1, 1)",0,0.000000,-42.1,2.36,1.4163,propane
4,2,"(2, 2, 1, 1)",2,1.414214,-0.5,2.89,1.8064,n-butane
4,3,"(3, 1, 1, 1)",0,0.000000,-11.7,2.76,1.6623,isobutane
5,3,"(3, 2, 1, 1, 1)",2,1.414214,27.7,3.29,2.0524,isopentane
5,2,"(2, 2, 2, 1, 1)",2,1.414214,36.1,3.45,2.1965,n-pentane
5,4,"(4, 1, 1, 1, 1)",0,0.000000,9.5,3.11,2.0524,neopentane
6,4,"(3, 3, 1, 1, 1, 1)",4,2.000000,57.9,3.85,2.2984,"2,3-dimethylbutane"
6,2,"(2, 2, 2, 2, 1, 1)",4,2.000000,68.7,3.90,2.5866,n-hexane
6,4,"(4, 2, 1, 1, 1, 1)",2,1.414214,49.7,3.82,2.4425,"2,2-dimethylbutane"
6,3,"(3, 2, 2, 1, 1, 1)",2,1.414214,60.3,3.74,2.4425,2-methylpentane
7,2,"(2, 2, 2, 2, 2, 1, 1)",8,2.828427,98.4,4.50,2.9767,n-heptane
7,5,"(4, 3, 1, 1, 1, 1, 1)",4,2.000000,80.9,4.09,2.6885,"2,2,3-trimethylbutane"
7,4,"(3, 3, 2, 1, 1, 1, 1)",4,2.000000,89.8,3.96,2.6885,"2,3-dimethylpentane"
7,3,"(3, 2, 2, 2, 1, 1, 1)",4,2.000000,91.9,3.91,2.8326,3-methylhexane
7,4,"(4, 2, 2, 1, 1, 1, 1)",2,1.414214,79.2,4.09,2.8326,"2,2-dimethylpentane"
8,2,"(2, 2, 2, 2, 2, 2, 1, 1)",12,3.464102,125.7,4.90,3.3668,n-octane
8,6,"(4, 4, 1, 1, 1, 1, 1, 1)",6,2.449490,99.2,4.09,3.0786,"2,2,4-trimethylpentane"
8,5,"(3, 3, 3, 1, 1, 1, 1, 1)",6,2.449490,109.8,4.09,2.9345,"2,2,3-trimethylpentane"
8,3,"(3, 2, 2, 2, 2, 1, 1, 1)",6,2.449490,122.7,4.50,3.2227,3-methylheptane
8,5,"(4, 3, 2, 1, 1, 1, 1, 1)",4,2.000000,114.8,4.09,3.0786,"2,3,3-trimethylpentane"
8,4,"(4, 2, 2, 2, 1, 1, 1, 1)",4,2.000000,117.6,4.50,3.2227,2-methylheptane
8,4,"(3, 3, 2, 2, 1, 1, 1, 1)",4,2.000000,93.5,3.91,3.0786,3-ethylhexane
9,2,"(2, 2, 2, 2, 2, 2, 2, 1, 1)",16,4.000000,150.8,5.65,3.7569,n-nonane
9,3,"(3, 2, 2, 2, 2, 2, 1, 1, 1)",10,3.162278,143.6,5.00,3.6128,3-methyloctane
9,4,"(4, 2, 2, 2, 2, 1, 1, 1, 1)",6,2.449490,142.8,5.00,3.6128,2-methyloctane
